score	path	reason
680	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e08k2-pre-patch-20260619-211442.bak	ABRIR_PROYECTO,PROYECTOS,Ver_proyectos,step_commands,numero_entrar,historico,activo,terminal_title,desktop_terminal_path
680	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e08k-pre-patch-20260619-211419.bak	ABRIR_PROYECTO,PROYECTOS,Ver_proyectos,step_commands,numero_entrar,historico,activo,terminal_title,desktop_terminal_path
680	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e08l-pre-line-safe-patch-20260619-211513.bak	ABRIR_PROYECTO,PROYECTOS,Ver_proyectos,step_commands,numero_entrar,historico,activo,terminal_title,desktop_terminal_path
680	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e08m-pre-clean-20260619-211652.bak	ABRIR_PROYECTO,PROYECTOS,Ver_proyectos,step_commands,numero_entrar,historico,activo,terminal_title,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-20260619-210847	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e07q-20260619203927	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e07t-20260619204920	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e07u-20260619205129	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e08e-20260619210644	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e04-pre-helper-adapt-20260619-212953.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e05c-pre-open-project-selector-20260619-213315.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e05e-pre-select-module-20260619-214132.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e05g-pre-restore-select-module-20260619-214243.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e06-stable-rebuild-20260619-215114.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e08h-pre-fix-20260619-211127.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e08n-pre-enter-refresh-20260619-211904.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e08n-pre-enter-refresh-20260619-212024.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e08o-pre-status-refresh-20260619-212201.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e09b-pre-active-labels-20260619-220246.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e09d-pre-active-historical-labels-20260619-220428.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e09g-pre-projects-select-number-20260619-221103.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e10b-pre-project-parent-memory-20260619-221841.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e10c-pre-rewrite-context-20260619-222007.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e10d-pre-project-path-confirm-20260619-222250.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e10e-pre-new-project-template-20260619-222459.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e10m-pre-use-original-master-template-20260619-224025.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
520	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e10n-pre-capture-new-project-errors-20260619-224210.bak	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,historico,activo,desktop_terminal_path
420	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.bak-e08d-20260619210531	ABRIR_PROYECTO,PROYECTOS,step_commands,numero_entrar,desktop_terminal_path
420	C:\ENGREMIAT_CORE\tools\desktop-terminal-operator\eng-context.ps1.e09e-pre-fix-projects-stale-active-20260619-220905.bak	ABRIR_PROYECTO,step_commands,numero_entrar,historico,activo,desktop_terminal_path
