score	relative	size	hits	path	snippet
16	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_PROJECT_CONTROL\PROJECT_GRAPH_VIEW_SELECTOR.md	489	vista=5;path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_PROJECT_CONTROL\PROJECT_GRAPH_VIEW_SELECTOR.md	
12	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\LAB_STATUS.md	733	control=1;path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\LAB_STATUS.md	## Ruido visual  - md_files: `  50  `  - canvas_files: `  7  `  - decision: `  OK_LAB_V1_VISUAL_NOISE_ACCEPTABLE  `    ## Siguiente  `  PAUSE_AND_DECIDE_NEXT_SIMULATION_OR_REAL_CONTROLLED_TASK  `
12	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIMULATION_LAB_V1_CLOSE.md	788	control=1;path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIMULATION_LAB_V1_CLOSE.md	ejecutar piezas reales sensibles, probar objetivo, tareas, gates y evidencias dentro del Simulation Lab.    ## Proximo uso recomendado  Simular un ciclo mas realista con una tarea controlada o conectar un worker local fake con entrada/salida estructurada, todavia sin acciones reales.
12	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\PROJECT_HOME.md	1804	control=6;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\PROJECT_HOME.md	solidacion de ENGREMIAT. Simula objetivos, roadmaps, tareas, workers, gates humanos, evidencias, resultados y aprendizaje sin ejecutar workers reales.    ## Navegacion  - [[00_LAB_CONTROL/LAB_STATUS]]  - [[00_LAB_CONTROL/SIMULATION_CYCLE]]  - [[01_OBJECTIVES/OBJECTIVES_INDEX]]  - [[02_ROADMAPS/ROADMAPS_INDEX]]  - [[03_SIMULATED_TASKS/SIMULATED_TASKS_INDEX]]  - [[04_SIMULATED_WORKERS/SIMULATED_WORKERS_INDEX]]  - [[05_HUMAN_GATES/HUMAN_GATES_INDEX]]  - [[06_DECISIONS/DECISIONS_INDEX]]  - [[07_EVIDENCE/EVIDENCE_INDEX]]  - [[08_RESULTS/RESULTS_INDEX]]  - [[09_LEARNING/LEARNING_INDEX]]  - [[10_CANV
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIM_PROJECT_20260619-144124_HUMAN_REVIEW.md	444	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIM_PROJECT_20260619-144124_HUMAN_REVIEW.md	
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIMULATION_CYCLE.md	427	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\SIMULATION_CYCLE.md	
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_PROJECT_CONTROL\PROJECT_STATUS.md	209	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_PROJECT_CONTROL\PROJECT_STATUS.md	
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\OBJECT_MODEL_REGISTRY.md	503	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\OBJECT_MODEL_REGISTRY.md	
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\CYCLE_RUN_001.md	706	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\CYCLE_RUN_001.md	
11	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\CYCLE_RUN_001_FINAL_STATUS.md	637	path_control=5;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL\CYCLE_RUN_001_FINAL_STATUS.md	
8	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\ROADMAP_MODEL.md	398	control=1;bloques=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS\ROADMAP_MODEL.md	, bloques y pasos propuestos por el sistema.    ## Campos requeridos  - id  - objective_id  - steps  - status  - approval_gate    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]
8	BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\00_CONTROL\project.template.json	1455	control=1;path_control=5;path_plantilla=2	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\00_CONTROL\project.template.json	y":  "designed_from_rich_sources_not_literal_copy",      "short_path_staging":  true,      "required_dirs":  [                            "00_HOME",                            "00_CONTROL",                            "01_OBJETIVO",                            "02_ROADMAP",                            "03_MODULOS",                            "03_MODULOS\\EJEMPLOS_MODULOS_REALES",                            "04_TAREAS",                            "05_GATES_HUMANOS",                            "06_EVIDENCIAS",                            "07_WORKERS",                            "08_RESULTADOS",
8	BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\99_ARCHIVO_ORIGEN\PROJECT_HOME_ORIGINAL.md	1804	control=6;path_plantilla=2	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\99_ARCHIVO_ORIGEN\PROJECT_HOME_ORIGINAL.md	solidacion de ENGREMIAT. Simula objetivos, roadmaps, tareas, workers, gates humanos, evidencias, resultados y aprendizaje sin ejecutar workers reales.    ## Navegacion  - [[00_LAB_CONTROL/LAB_STATUS]]  - [[00_LAB_CONTROL/SIMULATION_CYCLE]]  - [[01_OBJECTIVES/OBJECTIVES_INDEX]]  - [[02_ROADMAPS/ROADMAPS_INDEX]]  - [[03_SIMULATED_TASKS/SIMULATED_TASKS_INDEX]]  - [[04_SIMULATED_WORKERS/SIMULATED_WORKERS_INDEX]]  - [[05_HUMAN_GATES/HUMAN_GATES_INDEX]]  - [[06_DECISIONS/DECISIONS_INDEX]]  - [[07_EVIDENCE/EVIDENCE_INDEX]]  - [[08_RESULTS/RESULTS_INDEX]]  - [[09_LEARNING/LEARNING_INDEX]]  - [[10_CANV
8	MODULOS\MODULE_inicio\BOVEDA_MODULO\00_PLANTILLA_MAESTRA_REFERENCIA\00_CONTROL\module.json	625	control=1;path_control=5;path_plantilla=2	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_inicio\BOVEDA_MODULO\00_PLANTILLA_MAESTRA_REFERENCIA\00_CONTROL\module.json	IVE",      "created_at":  "{{CREATED_AT}}",      "vault":  "BOVEDA_MODULO",      "contract_version":  "operator-module-v1",      "required_dirs":  [                            "00_CONTROL",                            "01_OBJ",                            "02_TASKS",                            "03_EVID",                            "04_GATES",                            "10_CANVAS"                        ],      "template_source":  "00_PLANTILLA_MAESTRA_REFERENCIA"  }
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\06_DECISIONS\DECISIONS_INDEX.md	250	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\06_DECISIONS\DECISIONS_INDEX.md	ctive  tags:    - engremiat/simulation    - engremiat/lab  ---  #   DECISIONS_INDEX    ## Funcion  Decisiones del laboratorio.    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\HUMAN_GATE_MODEL.md	402	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\HUMAN_GATE_MODEL.md	o de decision humana antes de avanzar.    ## Campos requeridos  - id  - target_id  - question  - options  - decision  - status    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\EVIDENCE_INDEX.md	306	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\EVIDENCE_INDEX.md	s:    - engremiat/simulation    - engremiat/lab  ---  #   EVIDENCE_INDEX    ## Funcion  Evidencias simuladas y verificaciones.    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]    ## Modelo de objeto  - [[EVIDENCE_MODEL]]
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-152304_prueba1\T01_Definir_alcance_operativo.md	251	operativo=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-152304_prueba1\T01_Definir_alcance_operativo.md	
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\EVIDENCE_MODEL.md	386	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\EVIDENCE_MODEL.md	presenta evidencias simuladas y su validacion.    ## Campos requeridos  - id  - source  - summary  - path  - validation_status    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\HUMAN_GATES_INDEX.md	615	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES\HUMAN_GATES_INDEX.md	ctive  tags:    - engremiat/simulation    - engremiat/lab  ---  #   HUMAN_GATES_INDEX    ## Funcion  Gates de decision humana.    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]    ## Modelo de objeto  - [[HUMAN_GATE_MODEL]]    ## Gate escenario 001  - [[GATE_001_APPROVE_ROADMAP]]    ## Gate final escenario 001  - [[GATE_002_ACCEPT_SIMULATED_RESULT]]    ## Gate inicio proyecto simulado  - [[SIM_PROJECT_20260619-144124_GATE_APPROVE_ROADMAP]]    ## Gate validar resultado proyecto  - [[SIM_PROJECT_20260619-144124_GATE_VALIDATE_RESULT]]
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\TASK_MODEL.md	400	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\TASK_MODEL.md	a derivada del roadmap.    ## Campos requeridos  - id  - roadmap_id  - title  - status  - assigned_worker  - expected_evidence    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-152304_prueba1\T02_Preparar_roadmap_inicial.md	243	ordenar=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-152304_prueba1\T02_Preparar_roadmap_inicial.md	
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\SIMULATED_WORKERS_INDEX.md	334	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\SIMULATED_WORKERS_INDEX.md	/simulation    - engremiat/lab  ---  #   SIMULATED_WORKERS_INDEX    ## Funcion  Workers simulados y sus capacidades ficticias.    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]    ## Modelo de objeto  - [[SIM_WORKER_MODEL]]
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\RUN_001_SIM_WORKER_PLANNER.md	661	prioridad=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\RUN_001_SIM_WORKER_PLANNER.md	
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\SIM_WORKER_MODEL.md	398	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\SIM_WORKER_MODEL.md	enta un worker ficticio y sus capacidades simuladas.    ## Campos requeridos  - id  - name  - capabilities  - limits  - status    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\EV_001_SCOPE_NOTE.md	533	prioridad=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\EV_001_SCOPE_NOTE.md	
7	BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\00_CONTROL\project.json	330	path_control=5;path_plantilla=2	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\00_CONTROL\project.json	
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SIMULATION_OBJECT_MODEL_CANVAS.canvas	5429	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\SIMULATION_OBJECT_MODEL_CANVAS.canvas	{      "nodes":  [                    {                        "id":  "registry",                        "type":  "file",                        "file":  "00_LAB_CONTROL/OBJECT_MODEL_REGISTRY.md",                        "x":  0,                        "y":  0,                        "width":  360,                        "height":  150,                        "color":  "1"                    },                    {                        "id":  "m1",                        "type":  "file",                        "file":  "01_OBJECTIVES/OBJECTIVE_MODEL.md",                        "x":  -900,
7	BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\00_CONTROL\template-source.json	551	path_control=5;path_plantilla=2	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\00_CONTROL\template-source.json	
7	MODULOS\MODULE_inicio\BOVEDA_MODULO\00_PLANTILLA_MAESTRA_REFERENCIA\00_CONTROL\module.template.json	597	path_control=5;path_plantilla=2	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_inicio\BOVEDA_MODULO\00_PLANTILLA_MAESTRA_REFERENCIA\00_CONTROL\module.template.json	
7	MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\00_CONTROL\module.json	1056	path_control=5;path_plantilla=2	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\00_CONTROL\module.json	
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\LEARNING_ACCEPTED_CYCLE_CANVAS.canvas	2435	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS\LEARNING_ACCEPTED_CYCLE_CANVAS.canvas	"color":  "6"                    },                    {                        "id":  "final",                        "type":  "file",                        "file":  "00_LAB_CONTROL/CYCLE_RUN_001_FINAL_STATUS.md",                        "x":  840,                        "y":  0,                        "width":  360,                        "height":  160,                        "color":  "1"                    }                ],      "edges":  [                    {                        "id":  "e1",                        "fromNode":  "gate",                        "fromSide":  "right"
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\RESULT_MODEL.md	382	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\RESULT_MODEL.md	esenta el resultado simulado de una tarea o ciclo.    ## Campos requeridos  - id  - source_task  - summary  - accepted  - next    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]
7	ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\RESULTS_INDEX.md	524	control=1;path_plantilla=2;path_maestro_original=4	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\RESULTS_INDEX.md	tatus: active  tags:    - engremiat/simulation    - engremiat/lab  ---  #   RESULTS_INDEX    ## Funcion  Resultados simulados.    ## Relacion  - [[../PROJECT_HOME]]  - [[../00_LAB_CONTROL/SIMULATION_CYCLE]]    ## Modelo de objeto  - [[RESULT_MODEL]]    ## Resultado escenario 001  - [[SCENARIO_001_visual_task_management_module/RESULT_001_SCENARIO_STATUS]]    ## Resultado worker simulado escenario 001  - [[SCENARIO_001_visual_task_management_module/RESULT_002_WORKER_SIMULATION_OUTPUT]]
